X	Y	Z
5545275.579	7421916.743	171.94272350480003
5545276.5770000005	7421916.101	171.1273818288
5545277.759	7421915.581	170.5164409144
5545278.757999999	7421914.879	170.481153524
5545279.818	7421914.217999999	170.252064
5545280.726	7421913.455	169.862461524
5545281.664	7421912.652000001	169.2551178288
5545282.572000001	7421911.85	168.9804458288
5545283.419	7421910.9860000005	168.9917923048
5545284.357000001	7421910.223999999	168.9872409144
5545285.174	7421909.34	168.9794923048
5545286.05	7421908.557	168.96924860960002
5545286.835	7421907.693	168.959261524
5545287.742000001	7421906.95	168.9403206096
5545288.557999999	7421906.126	168.92822830479997
5545289.403	7421905.342	168.9666049144
5545290.31	7421904.598999999	169.0629381336
5545291.156	7421903.815	169.1649332192
5545292.032000001	7421903.052	169.174264
5545292.909	7421902.288	169.16697691439998
5545293.785	7421901.565	169.14369721920002
5545294.691000001	7421900.881	169.1321049144
5545295.717	7421900.399	169.12891013360002
5545296.7129999995	7421899.936000001	169.1173178288
5545297.892000001	7421899.615	169.05455352400003
5545298.918	7421899.172	169.0298283048
5545300.038	7421898.671	168.98825630480002
5545301.035	7421898.068	168.98701782880002
5545301.972	7421897.386	168.97128182880002
5545302.847999999	7421896.6620000005	168.9599381336
5545303.663	7421895.897999999	168.96144860959998
5545304.509	7421895.094	168.9833458288
5545305.324	7421894.27	168.9150923048
5545306.14	7421893.426	168.89120000000003
5545306.924	7421892.602000001	168.82174860959998
5545307.74	7421891.778	168.7686381336
5545308.554	7421891.0139999995	168.72857413359998
5545309.43	7421890.31	168.6858381336
5545310.336	7421889.627	168.6904409144
5545311.181	7421888.903	168.70812552400002
5545312.086	7421888.279	168.82724860960002
5545312.929	7421887.654	168.9605206096
5545313.925	7421887.211	169.0914206096
5545314.828	7421886.747	169.1759178288
5545315.823	7421886.302999999	169.2799458288
5545316.757999999	7421885.76	169.35719999999998
5545317.723999999	7421885.197000001	169.428953524
5545318.659	7421884.6729999995	169.4291
5545319.594	7421884.11	169.3758769144
5545320.498	7421883.546	169.36758460960002
5545321.31	7421882.98	169.4212101336
5545322.276000001	7421882.437000001	169.493753524
5545323.149	7421881.873	169.62037413360002
5545324.086	7421881.19	169.6747846096
5545324.931	7421880.466	169.713661524
5545325.685	7421879.641	169.7057126096
