X,Y,H
5545155.7639,7421932.2299,170.8214101336
5545154.8451,7421931.9154,180.25670000000002
5545153.9551,7421931.6393,180.5019145904
5545153.0818,7421931.4364,180.7352068952
5545152.1947,7421931.248,180.971632
5545151.3489,7421931.1192,181.07286800000003
5545150.47,7421931.052999999,181.07106800000003
5545149.6126,7421930.9677,181.00690769519997
5545148.77,7421931.0207,180.9216126096
5545147.9395,7421931.0166,180.8724
5545147.0455,7421931.0072,180.73648460959998
5545146.2012,7421931.0008,180.647904
5545145.2791,7421930.9165,180.5701396952
5545144.3895,7421930.8869,180.4774126096
5545143.4527,7421930.7786,180.46016030479998
5545142.501,7421930.7584,180.5305283048
5545141.5372,7421930.6561,180.6746243048
5545140.5353,7421930.6632,181.0256923048
5545139.535,7421930.5838,181.2432526096
5545138.4922,7421930.5944,181.8441126096
5545137.4771,7421930.5875,182.4180806096
5545136.4315,7421930.6264,182.69899999999998
5545135.3864,7421930.6812,183.146204
5545134.3105,7421930.6475,183.45640400000002
5545133.2302,7421930.6948,183.53854860959999
5545132.1312,7421930.6,183.73932060960001
5545131.0408,7421930.6574,183.8623756952
5545129.9235,7421930.5482,183.95447569520002
5545128.8371,7421930.5938,184.4117716952
5545127.7129,7421930.5087,184.4970166096
5545126.6315,7421930.4955,184.50101660960001
5545125.5214,7421930.4793,184.5026166096
5545124.4636,7421930.4807,184.4984243048
5545123.4489,7421930.5243,188.5002923048
5545122.4688,7421930.5635,188.945652
5545121.5248,7421930.6887,189.65732830480002
5545120.6591,7421930.8452,190.04947169520003
5545119.7978,7421930.9961,190.38939599999998
5545118.9978,7421931.1726,190.734868
5545118.4152,7421931.5721,191.17323600000003
5545117.856000001,7421931.977999999,191.329636
5545117.4868,7421932.6629,191.460348
5545117.0972,7421933.3718,191.5864716952
5545116.5779,7421934.2672,191.73332
5545115.8995,7421935.017999999,191.834148
5545115.01,7421935.7525,191.970964
5545114.0771,7421936.249,192.05576
5545112.9893,7421936.5711,192.14939999999999
5545112.1523,7421936.5124,192.2185556952
5545111.2688,7421936.3487,192.282308
5545110.5596,7421935.946,192.36306
5545109.9135,7421935.529,192.42367169519997
5545109.4038,7421934.9948,192.5316476952
5545108.9922,7421934.4417,192.6248316952
5545108.6597,7421933.8376,192.74815569519998
5545108.332,7421933.1844,192.7772876952
