	X	Y	H
2015_1138	5545201.7487	7422015.6901	176.28401089520003
2015_1139	5545201.6944	7422015.6101	176.13536441920002
2015_1140	5545201.6232	7422015.5586	176.2884004192
2015_1141	5545201.5692	7422015.4863	176.2637972192
2015_1142	5545201.5182	7422015.417	176.33859721919998
2015_1143	5545201.4627	7422015.3399	176.24661013359997
2015_1144	5545201.4016	7422015.2748	176.1971923048
2015_1145	5545201.3367	7422015.2071	176.120989524
2015_1146	5545201.2663	7422015.1424	176.099861524
2015_1147	5545201.1878	7422015.0729	175.942461524
2015_1148	5545201.1215	7422015.0139	175.92307691439999
2015_1149	5545201.0443	7422014.9534	175.92447691440003
2015_1150	5545200.9578	7422014.8935	186.04319230480002
2015_1151	5545200.8673	7422014.8436	185.8281883048
2015_1152	5545200.8833	7422014.6953	185.8142436952
2015_1153	5545201.0252	7422014.402	185.6361206096
2015_1154	5545201.2107	7422014.1343	185.2885436952
2015_1155	5545201.5537	7422013.7618	185.3566
2015_1156	5545201.8613	7422013.3084	185.2011603048
2015_1157	5545202.2784	7422012.8573	185.0720883048
2015_1158	5545202.7612	7422012.2618	184.7605
2015_1159	5545203.2363	7422011.6972	184.8856603048
2015_1160	5545203.841	7422011.0319	185.03325630479998
2015_1161	5545204.4009	7422010.3853	185.03201660960002
2015_1162	5545205.0511	7422009.6639	184.3834716952
2015_1163	5545205.6956	7422008.9263	184.883204
2015_1164	5545206.383	7422008.209	185.4563603048
2015_1165	5545207.098	7422007.4126	184.0409923048
2015_1166	5545207.7578	7422006.663	183.6710283048
2015_1167	5545208.4644	7422005.7961	183.8251126096
2015_1168	5545209.0986	7422004.9806	183.624896
2015_1169	5545209.7872	7422004.0919	183.27814860959998
2015_1170	5545210.4946	7422003.2077	182.9351243048
2015_1171	5545211.124	7422002.3008	182.9775716952
2015_1172	5545211.8328	7422001.3284	183.4421126096
2015_1173	5545212.4489	7422000.4166	183.3268206096
2015_1174	5545213.1219	7421999.3955	182.9457
2015_1175	5545213.7221	7421998.3597	182.8803756952
2015_1176	5545214.3434	7421997.369	182.7604206096
2015_1177	5545214.8879	7421996.353	182.6984672
2015_1178	5545215.3028	7421995.3503	190.4853076952
2015_1179	5545215.7889	7421994.2434	191.3488723048
2015_1180	5545216.1067	7421993.1941	191.22922060960002
2015_1181	5545216.4828	7421992.0632	191.235332
2015_1182	5545216.8211	7421990.9962	191.281932
2015_1183	5545217.0855	7421989.8715	191.125536
2015_1184	5545217.3702	7421988.7329	191.03298
2015_1185	5545217.5768	7421987.6707	190.8083923048
2015_1186	5545217.733	7421986.5097	190.677696
2015_1187	5545217.797	7421985.4474	190.605068
2015_1188	5545217.6115	7421984.6465	190.13938830479998
2015_1189	5545217.4435	7421983.7436	190.08697230479999
2015_1190	5545217.2706	7421982.8573	189.9355283048
2015_1191	5545216.9714	7421981.9768	189.9555603048
2015_1192	5545216.5062	7421981.2209	189.973952
2015_1193	5545216.0063	7421980.462	189.87976030480002
2015_1194	5545215.3245	7421979.7951	189.6673603048
2015_1195	5545217.2656	7421980.281	189.481284
2015_1196	5545216.5174	7421979.6374	189.32118
2015_1197	5545215.8488	7421979.0407	189.28928830479998
2015_1198	5545144.7695	7421941.2226	188.8015
2015_1199	5545143.2966	7421939.8895	188.6440603048
2015_1200	5545141.1785	7421940.6504	188.4203
2015_1201	5545140.7309	7421939.5268	188.2646603048
2015_1202	5545139.5924	7421939.331	188.13658
2015_1203	5545138.5655	7421939.0011	187.9659
2015_1204	5545137.5125	7421938.788	187.56000830480002
2015_1205	5545136.5351	7421938.4475	186.4483436952
2015_1206	5545135.5578	7421938.1929	184.0255283048
2015_1207	5545134.558	7421937.8801	182.2012126096
2015_1208	5545133.6224	7421937.4562	179.822332
2015_1209	5545132.5912	7421937.1168	179.1045436952
2015_1210	5545131.6276	7421936.6278	178.40366030479998
2015_1211	5545130.6368	7421936.269	177.9615436952
2015_1212	5545129.626	7421935.7342	177.341864
2015_1213	5545128.6263	7421935.2965	176.6951283048
2015_1214	5545127.5304	7421934.829	175.93547939040002
2015_1215	5545126.462	7421934.4528	175.24462830480002
2015_1216	5545125.2819	7421934.1087	174.7324563048
2015_1217	5545124.12	7421933.8885	174.1868716952
2015_1218	5545122.8626	7421933.6496	173.8001388952
2015_1219	5545121.6158	7421933.5741	173.3535364192
2015_1220	5545120.3259	7421933.4373	173.051828724
2015_1221	5545118.9996	7421933.411	172.978128724
2015_1222	5545117.7083	7421933.3298	172.86925672400002
2015_1223	5545116.3627	7421933.2411	172.6827672
2015_1224	5545115.0626	7421933.2068	172.5598032
2015_1225	5545113.7516	7421933.2683	172.34288502880003
2015_1226	5545112.5264	7421933.3586	172.0860158096
2015_1227	5545111.255	7421933.5362	171.80100811440002
2015_1228	5545110.0364	7421933.6113	171.40402350480002
2015_1229	5545108.772	7421933.8269	171.0122748952
2015_1230	5545107.5581	7421933.8757	171.000761524
2015_1231	5545106.2379	7421933.9419	171.0857798096
2015_1232	5545105.0034	7421933.9532	170.8483126096
2015_1233	5545103.7468	7421933.8018	170.5450206096
2015_1234	5545102.5683	7421933.6774	170.4670178288
2015_1235	5545101.3876	7421933.3515	170.2943846096
2015_1236	5545100.2718	7421933.0984	169.7853126096
2015_1237	5545099.1473	7421932.6796	169.4173692192
2015_1238	5545098.0953	7421932.3234	168.9950409144
2015_1239	5545097.0184	7421931.8628	168.240189524
2015_1240	5545095.9642	7421931.4269	167.8490923048
