X,Y,H
5545174.9941,7422052.2511,172.156428724
5545175.0256,7422052.2339,172.1498798096
5545175.0517,7422052.2099,172.1439798096
5545175.0788,7422052.1871,172.15702872399999
5545175.1139,7422052.156,172.172528724
5545175.1378,7422052.1394,172.17072872399999
5545175.1542,7422052.1156,172.16122872399998
5545175.1549,7422052.0981,172.1562748952
5545175.1802,7422052.0759,172.15552072399998
5545175.2045,7422052.0404,172.13307211440002
5545175.3779,7422052.1011,172.16157980959997
5545175.5952,7422052.0377,172.16497980960003
5545175.9475,7422051.9255,172.1836798096
5545176.2837,7422051.7706,172.1583875048
5545176.632,7422051.3791,172.1407388952
5545177.0282,7422050.9843,172.16789550480001
5545177.3876,7422050.4149,172.0987748952
5545177.8772,7422049.8381,172.10378502880002
5545178.3474,7422049.2013,172.1317721144
5545178.96,7422048.4841,172.1704672
5545179.514,7422047.7574,172.3496108952
5545180.0295,7422046.8655,172.5513875048
5545180.6054,7422046.0379,172.814028724
5545181.1259,7422045.09,172.9201388952
5545181.7854,7422044.2426,173.0158672
5545182.2902,7422043.2148,173.06837489519998
5545182.892,7422042.2983,173.1429441144
5545183.5016,7422041.3015,173.1483721144
5545184.1533,7422040.403,173.17475950480002
5545184.9222,7422039.4579,172.9807004192
5545185.6507,7422038.5817,172.60455672400002
5545186.5218,7422037.7268,172.4076004192
5545187.4048,7422036.9266,172.3428748952
5545188.3111,7422036.1799,172.17569272400002
5545189.338,7422035.5728,172.096020724
5545190.311,7422034.996,172.1076748952
5545191.3842,7422034.3851,172.22619550480002
5545192.3844,7422033.8561,172.0693644192
5545193.5326,7422033.3812,171.8580748952
5545194.6209,7422033.0476,171.97280041919998
5545195.8106,7422032.7479,171.5932875048
5545196.9647,7422032.5559,171.6859364192
5545198.1296,7422032.2859,171.71043120000002
5545199.3029,7422032.0985,171.5520004192
5545200.4534,7422031.9121,171.4650312
5545201.6755,7422031.8652,171.4080875048
5545202.8109,7422031.7913,171.3899441144
5545204.0348,7422031.7072,171.41167489519998
5545205.1642,7422031.6607,171.3238955048
5545206.3795,7422031.7116,171.267456724
5545207.5219,7422031.8056,171.35691089519997
5545208.7252,7422031.8286,171.4362004192
5545209.8749,7422031.892,171.53738502879997
5545211.0663,7422031.9337,171.6587032
5545212.271,7422032.0771,171.9057081144
5545213.4261,7422032.1785,172.0619081144
5545214.6848,7422032.3982,172.210192724
5545215.8413,7422032.5935,172.3532595048
5545217.0971,7422032.7498,172.3190108952
5545218.2738,7422032.9449,172.6378235048
5545219.4935,7422033.0089,172.9864364192
5545220.6854,7422033.1234,173.19870319999998
5545221.8424,7422033.15,173.2909875048
5545223.0655,7422033.1673,173.3744955048
5545224.1883,7422033.1812,173.3681955048
5545225.4129,7422033.1389,173.3143388952
5545226.5306,7422033.1322,172.75485180959998
5545227.7111,7422033.0179,171.8979032
5545228.8686,7422032.9717,171.5187032
5545229.9969,7422032.811,171.43375950479998
5545231.179,7422032.6891,171.54370319999998
5545232.2787,7422032.5658,171.81965950479997
5545233.4547,7422032.3762,171.7894364192
5545234.5638,7422032.2622,171.5269518096
5545235.7182,7422032.0559,171.4265644192
5545236.8623,7422031.9197,171.4589441144
5545238.0187,7422031.8025,171.5236032
5545239.2202,7422031.7069,171.54652872399998
5545240.3603,7422031.5913,171.5657850288
5545241.586,7422031.4193,171.512820724
5545242.722,7422031.3215,171.422728724
5545243.909,7422031.2096,171.3302364192
5545245.035,7422031.1744,171.2938235048
5545246.1898,7422031.2102,171.1715850288
5545247.3816,7422031.2876,171.1356672
5545248.5365,7422031.4917,171.04366720000002
5545249.816,7422031.6553,170.8593004192
5545250.9982,7422031.8808,170.485125524
5545252.2385,7422032.1812,170.27332552400003
5545253.4426,7422032.329,170.2500409144
5545254.6602,7422032.5295,170.328225524
5545255.8397,7422032.4078,170.2569692192
5545257.0025,7422032.3552,169.92360000000002
5545258.1651,7422032.1333,169.8166
5545259.2894,7422031.8707,169.8329178288
5545260.3758,7422031.5906,169.93564091439998
5545261.4849,7422031.2197,169.9462332192
5545262.5393,7422030.9376,170.05974860959998
5545263.7371,7422030.6476,170.4431769144
5545264.8652,7422030.4267,170.46894582879997
5545266.0858,7422030.2094,170.3682846096
5545267.2507,7422029.9899,170.4313818288
5545268.4083,7422029.74,169.9609126096
5545269.5786,7422029.4265,169.806961524
5545270.6927,7422029.1739,170.0096178288
5545271.8734,7422028.8872,170.080689524
5545272.9789,7422028.6758,170.3065846096
5545274.2191,7422028.4956,170.6915381336
5545275.3605,7422028.3371,170.88362072400002
5545276.6208,7422028.1812,170.9264364192
5545277.8353,7422028.1115,170.599161524
5545279.0621,7422027.8939,171.0355644192
5545280.3252,7422027.8341,171.2598441144
5545281.5242,7422027.6353,171.005956724
5545282.7353,7422027.4459,170.5929458288
