X	Y	H
5545156.0125	7422046.3687	176.4434513904
5545156.2569	7422045.7205	176.4257076952
5545156.4443	7422045.0434	176.40547939040002
5545156.6279	7422044.296	176.30274860960003
5545156.8221	7422043.5567	176.2544818288
5545157.0758	7422042.7804	183.9869563048
5545157.3114	7422042.0197	183.9122563048
5545157.66	7422041.2263	183.9136486096
5545157.8443	7422040.404	183.93628460960002
5545158.0712	7422039.6184	194.63960400000002
5545158.059	7422038.7743	194.74424399999998
5545158.0631	7422037.9622	194.80236
5545158.0106	7422037.1012	194.85332400000001
5545157.8935	7422036.2129	194.86461200000002
5545157.7998	7422035.2987	194.92702400000002
5545157.6698	7422034.2975	194.902244
5545157.751	7422033.3536	194.84607200000002
5545157.878	7422032.4276	194.824336
5545158.1286	7422031.5921	194.857324
5545158.416	7422030.7682	194.88701200000003
5545158.8113	7422030.2078	194.825344
5545159.1933	7422029.6607	194.73150400000003
5545159.6576	7422029.3729	194.69962800000002
5545160.0917	7422029.1177	194.65975600000002
5545160.5988	7422028.9887	194.62437599999998
5545161.0833	7422028.9097	194.64182
5545161.6956	7422028.7915	194.56356
5545162.2926	7422028.6679	194.56636799999998
5545162.972	7422028.6209	194.455328
5545163.6472	7422028.4568	194.40417200000002
5545164.4114	7422028.4	194.466476
5545165.1664	7422028.2927	194.2781
5545165.9892	7422028.1325	194.1167
5545166.7809	7422027.9309	194.0758316952
5545167.6317	7422027.7668	194.01902
5545168.4281	7422027.5327	193.959308
5545169.2714	7422027.2589	193.8785636952
5545170.1179	7422027.0526	193.7900236952
5545170.942	7422026.7379	193.697228
5545171.7099	7422026.3438	193.6357796952
5545172.5357	7422026.0203	193.56331999999998
5545173.2872	7422025.5888	193.5695636952
5545174.0122	7422025.1242	193.5576236952
5545174.7489	7422024.6731	193.53873600000003
5545175.3669	7422024.1541	193.5281476952
5545175.946	7422023.6436	193.4647396952
5545176.4646	7422023.0624	193.4169716952
5545176.9975	7422022.5283	193.36426
5545177.5307	7422021.9705	193.304396
5545178.0064	7422021.3042	193.308692
5545178.5316	7422020.6552	193.250828
5545178.9268	7422019.8973	193.20761199999998
5545179.3495	7422019.1392	193.2194556952
5545179.6822	7422018.3402	193.1538396952
5545179.9279	7422017.4969	193.072444
5545180.1468	7422016.6481	193.0336236952
5545180.272	7422015.7462	192.96656
5545180.4926	7422014.8617	192.918644
5545180.5409	7422013.9123	192.82730400000003
5545180.7417	7422012.9725	192.755452
5545180.7947	7422012.0027	192.6718476952
5545180.8863	7422011.0189	192.6292396952
5545180.9123	7422010.0579	192.4844796952
5545180.8814	7422009.0659	192.2839156952
5545180.861	7422008.1188	192.2502876952
5545180.6992	7422007.0974	192.2178156952
5545180.5839	7422006.1331	192.185136
5545180.3811	7422005.1025	192.1332636952
5545180.2034	7422004.1414	192.084704
5545180.0094	7422003.1258	192.00614000000002
5545179.8009	7422002.1532	191.967776
5545179.578	7422001.1733	191.9003123048
5545179.3539	7422000.2038	191.846004
5545179.1571	7421999.2408	191.7722
5545178.8505	7421998.2997	191.7079443048
5545178.5397	7421997.4102	191.6666123048
5545178.0633	7421996.6157	191.615852
5545177.5798	7421995.8593	191.5318556952
5545176.9559	7421995.1697	191.241896
5545176.3545	7421994.4955	190.2580443048
5545175.6234	7421993.8399	189.7472763048
5545174.9068	7421993.1767	189.3527443048
5545174.1397	7421992.5144	188.9005923048
5545173.4263	7421991.8263	188.66659230480002
5545172.7458	7421991.0667	188.20079600000003
5545172.1155	7421990.2734	187.7590883048
5545171.6242	7421989.4395	187.3998206096
5545171.2073	7421988.6259	186.9437206096
5545170.938	7421987.7476	186.6469166096
5545170.6442	7421986.8492	186.5102076952
5545170.5684	7421985.9791	186.3477126096
5545170.4863	7421985.121	186.2240923048
5545170.5707	7421984.2867	185.877268
5545170.6322	7421983.4891	185.4254166096
5545170.8279	7421982.6861	185.43095630480002
5545171.0177	7421981.9255	185.5565806096
